"special_features","cntrentduration","sumrentalrate"
"{Trailers,Commentaries,""Behind the Scenes""}","79","244.21"
"{Trailers,""Behind the Scenes""}","72","221.28"
"{Trailers,Commentaries}","72","211.28"
"{Trailers}","72","201.28"
"{""Deleted Scenes"",""Behind the Scenes""}","71","200.29"
"{Commentaries,""Behind the Scenes""}","70","215.30"
"{""Behind the Scenes""}","70","211.30"
"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","66","195.34"
"{Trailers,""Deleted Scenes""}","66","189.34"
"{Commentaries,""Deleted Scenes""}","65","206.35"
"{Trailers,Commentaries,""Deleted Scenes""}","64","185.36"
"{Commentaries}","62","205.38"
"{""Deleted Scenes""}","61","182.39"
"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","61","164.39"
"{Trailers,""Deleted Scenes"",""Behind the Scenes""}","49","146.51"
